x,y,z,yaw,velocity,change_flag
87.8333,96.5503,0.1660,1.4167,10.0000,0
88.4535,100.5427,0.1687,1.4147,10.0000,0
89.2308,105.4819,0.1772,1.4147,10.0000,0
90.0080,110.4212,0.1857,1.4147,10.0000,0
90.7853,115.3604,0.1942,1.4147,10.0000,0
91.5626,120.2996,0.2026,1.4147,10.0000,0
92.3398,125.2388,0.2111,1.4147,10.0000,0
93.1171,130.1780,0.2196,1.4147,10.0000,0
93.8944,135.1172,0.2281,1.4147,10.0000,0
94.1477,136.7273,0.2308,1.2278,10.0000,0
95.8292,141.4360,0.2525,1.2278,10.0000,0
97.5107,146.1447,0.2742,1.2278,10.0000,0
99.1922,150.8535,0.2959,1.2278,10.0000,0
100.8737,155.5622,0.3176,1.2278,10.0000,0
102.5552,160.2709,0.3392,1.2278,10.0000,0
104.2367,164.9796,0.3609,1.2278,10.0000,0
105.9182,169.6884,0.3826,1.2278,10.0000,0
106.1911,170.4527,0.3861,1.1324,10.0000,0
108.3138,174.9797,0.3940,1.1324,10.0000,0
110.4365,179.5068,0.4018,1.1324,10.0000,0
112.5591,184.0338,0.4097,1.1324,10.0000,0
114.6818,188.5609,0.4175,1.1324,10.0000,0
116.8045,193.0879,0.4254,1.1324,10.0000,0
118.9271,197.6150,0.4333,1.1324,10.0000,0
121.0498,202.1420,0.4411,1.1324,10.0000,0
123.1725,206.6691,0.4490,1.1324,10.0000,0
125.2951,211.1962,0.4568,1.1324,10.0000,0
127.4178,215.7232,0.4647,1.1324,10.0000,0
129.5184,220.2032,0.4725,1.0387,10.0000,0
132.0550,224.5118,0.5007,1.0387,10.0000,0
134.5917,228.8205,0.5290,1.0387,10.0000,0
137.1283,233.1291,0.5572,1.0387,10.0000,0
139.6650,237.4378,0.5855,1.0387,10.0000,0
140.3075,238.5291,0.5926,0.5246,10.0000,0
144.6351,241.0333,0.5735,0.5246,10.0000,0
148.9627,243.5375,0.5544,0.5246,10.0000,0
153.2904,246.0418,0.5352,0.5246,10.0000,0
157.6180,248.5460,0.5161,0.5246,10.0000,0
161.9456,251.0502,0.4970,0.5246,10.0000,0
165.5060,253.1105,0.4813,-0.1600,10.0000,0
170.4421,252.3137,0.4716,-0.1600,10.0000,0
171.7711,252.0991,0.4690,-0.2200,10.0000,0
176.6504,251.0082,0.5146,-0.2200,10.0000,0
181.5297,249.9172,0.5601,-0.2200,10.0000,0
186.4090,248.8262,0.6057,-0.2200,10.0000,0
191.2883,247.7353,0.6513,-0.2200,10.0000,0
191.3926,247.7119,0.6522,0.0049,10.0000,0
196.3920,247.7364,0.7315,0.0049,10.0000,0
201.3913,247.7608,0.8108,0.0049,10.0000,0
206.3906,247.7852,0.8901,0.0049,10.0000,0
211.3899,247.8097,0.9694,0.0049,10.0000,0
216.3892,247.8341,1.0487,0.0049,10.0000,0
221.3885,247.8585,1.1280,0.0049,10.0000,0
226.3878,247.8829,1.2073,0.0049,10.0000,0
231.3871,247.9074,1.2866,0.0049,10.0000,0
236.3864,247.9318,1.3659,0.0049,10.0000,0
241.3858,247.9562,1.4452,0.0049,10.0000,0
246.3851,247.9807,1.5245,0.0049,10.0000,0
251.3844,248.0051,1.6038,0.0049,10.0000,0
256.3837,248.0295,1.6831,0.0049,10.0000,0
261.3830,248.0540,1.7623,0.0049,10.0000,0
266.3823,248.0784,1.8416,0.0049,10.0000,0
271.3816,248.1028,1.9209,0.0049,10.0000,0
272.9709,248.1106,1.9461,-0.0178,10.0000,0
277.9693,248.0218,2.0363,-0.0178,10.0000,0
282.9677,247.9330,2.1264,-0.0178,10.0000,0
287.9661,247.8442,2.2166,-0.0178,10.0000,0
292.9645,247.7554,2.3067,-0.0178,10.0000,0
297.9629,247.6666,2.3968,-0.0178,10.0000,0
302.9613,247.5778,2.4870,-0.0178,10.0000,0
307.9597,247.4891,2.5771,-0.0178,10.0000,0
312.9581,247.4003,2.6672,-0.0178,10.0000,0
317.9565,247.3115,2.7574,-0.0178,10.0000,0
322.9549,247.2227,2.8475,-0.0178,10.0000,0
327.9533,247.1339,2.9377,-0.0178,10.0000,0
332.9517,247.0451,3.0278,-0.0178,10.0000,0
336.9908,246.9734,3.1006,0.4153,10.0000,0
341.3239,248.8841,3.6917,1.0763,10.0000,0
343.6829,253.2590,3.9597,1.5388,10.0000,0
